Column1,Column2,Column3,Column4
热点,浏览人数,up主,评论数
这集vlog我们拍了十年，致最美好的青春,514.7万,AresserA-Vlog,6.8万
华农兄弟：兄弟家的鱼跑河里去了，帮他网回来，一网下去还不少,257.6万,华农兄弟,2.2万
【性转版】回家的诱惑,481.7万,兰彻lancche,4.4万
哆啦A梦结局背后的秘密？从未播出的黑历史？真相出人意料,259.3万,瓶子君152,4997
在中国挑战通宵卖烧烤！为啥美国没有这个？,262.9万,我是郭杰瑞,1.4万
【纯黑】《鬼泣5》一周目无伤S评价攻略解说 第七期,147.6万,-纯黑-,5829
化身修罗只为守护你！此刻世界将为之颤抖！,712.8万,烟季,1.6万
破案大师老番茄,649.8万,老番茄,1.6万
[LPL春季赛] 3月23日 RNG vs IG,397.6万,哔哩哔哩英雄联盟赛事,10.8万
the real suger baby已知最高画质,2932.8万,一嗷垚,2.2万
女主人扮恐龙把猫吓的到处飞，直接六亲不认，一脱衣服，猫：妈？,273.1万,花花与三猫CatLive,1.3万
华农兄弟：狗狗走丢了一只，用无人机去找一下，看能不能找到,289.4万,华农兄弟,1.1万
【真人炉石】暗影崛起-最秀新卡发布！,486.1万,神奇的老皮,1.3万
哎呀妈呀！不用烤箱也能做出这么棒的【流心芝士挞】吗？,334.1万,爱做饭的芋头SAMA,3557
1818黄金眼【在路上：打完电话 他爆发了】,38.9万,1818黄金眼,2689
[LPL春季赛] 3月30日 IG vs EDG,285.9万,哔哩哔哩英雄联盟赛事,6.3万
号外！全新弹幕功能进入内测阶段！,85.6万,哔哩哔哩弹幕网,9342
比《复联4》更虐！漫威不敢拍的复联10次团灭,237.8万,努力的Lorre,4627
【游戏侦查冰】揭秘游戏氪金抽卡的“黑幕”,231万,芒果冰OL,2.7万
云南奇葩蔬菜竟这么多！为啥美国蔬菜品种都一样？,189.9万,我是郭杰瑞,1.1万
我是超杀女，我来了！,139万,科洛莫瑞兹ChloeMoretz,2642
【C菌】只能用耳朵玩的国产推理游戏！,136.6万,渗透之C君,1.5万
点外卖的时候备注：”往死里加辣“会怎么样,349.2万,楼上的老张,3.1万
靠谱盘点33：笑疯！Faker首次传授独家中单秘诀，厂长变身食肉型打野，各赛区爆笑吐槽,188.4万,靠谱电竞,4665
【嘻咦啊看】这个抛妻弃子的男人赢得了所有人的喝彩,161.4万,嘻咦啊看,1万
人类第一张黑洞照片，来了！,158.2万,二次元的中科院物理所,2.3万
破釜沉舟跑步机,1273.1万,手工耿,2万
【名师rap】游戏不打不成才,854.2万,伊丽莎白鼠,2.5万
随机理发！太丢人了！！早知道这样我还不如女装！,152.3万,吃素的狮子,1.3万
这个水果长得真漂亮，不如做成【水果奶酪三明治】吧~嘻嘻,222.8万,爱做饭的芋头SAMA,3383
【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,2349.9万,迪亚瓦尔Diaval,4.5万
【敖厂长】沙雕游戏主角死法超级华丽,526.9万,敖厂长,2.9万
探秘印度医药，真的有牛尿做的药吗？,151.6万,我是郭杰瑞,1.3万
华农兄弟：怀孕好几个月的香猪终于生了，一下生了9只小香猪,174.3万,华农兄弟,6544
电影最TOP 123: 难以超越的奇幻史诗巨制《指环王》三部曲,373.9万,电影最TOP,5.7万
和日本妹子结婚要花多少钱？日本的收入情况up听到后惊呆了。。。,450.9万,纳豆奶奶,2.2万
